Serial Number,Date,Heat Ratio,VPD,Ambient Temp
1,5/6/2019,1.00204233,0.367,14.493
1,5/7/2019,1.00184021,0.308,10.0015
1,5/8/2019,1.003532397,0.6685,16.2605
1,5/9/2019,1.002047773,0.3,13.7005
1,5/10/2019,1.003890511,0.712,14.049
1,5/11/2019,1.001512748,0.567,11.1875
1,5/12/2019,1.00322197,0.496,11.516
1,5/13/2019,1.003823835,0.888,15.5445
1,5/14/2019,1.003324526,1.3165,19.639
1,5/15/2019,1.003264329,1.261,22.035
1,5/16/2019,1.001466259,0.869,24.3515
1,5/17/2019,1.001612657,0.3395,10.8945
1,5/18/2019,1.003353512,1.064,24.885
1,5/19/2019,1.002705381,0.9,22.0235
1,5/20/2019,1.002387042,0.531,12.7025
1,5/21/2019,1.001405431,0.2865,10.9925
1,5/22/2019,1.002978006,1.0895,24.775
1,5/23/2019,1.003367881,1.107,21.473
1,5/24/2019,1.00196118,0.573,19.246
1,5/25/2019,1.003600541,0.8055,23.761
1,5/26/2019,1.003701153,0.865,23.6655
1,5/27/2019,1.002957451,0.7835,22.9945
1,5/28/2019,1.003514309,0.5875,21.1155
1,5/29/2019,1.003753942,0.7975,23.894
1,5/30/2019,1.003511583,0.9155,23.63
1,5/31/2019,1.00393389,1.419,26.5975
1,6/1/2019,1.003996855,1.1135,25.128
1,6/2/2019,1.003964133,1.4975,21.533
1,6/3/2019,1.004049163,1.278,20.77
1,6/4/2019,1.003448153,1.5675,26.22
1,6/5/2019,1.003845399,1.09,26.403
1,6/6/2019,1.003822844,0.9995,24.8345
1,6/7/2019,1.004001813,1.31,25.538
1,6/8/2019,1.004330089,1.3485,24.9925
1,6/9/2019,1.00380252,0.847,24.4485
1,6/10/2019,1.004419614,1.633,22.561
1,6/11/2019,1.003777239,2.274,26.5
1,6/12/2019,1.00270142,0.9145,20.7815
1,6/13/2019,1.004253217,0.81,17.6645
1,6/14/2019,1.004083376,1.8025,24.968
1,6/15/2019,1.001563443,0.5095,20.4245
1,6/16/2019,1.001555282,0.257,16.2835
1,6/17/2019,1.00412354,0.634,21.9265
1,6/18/2019,1.003814665,1.028,24.75
1,6/19/2019,1.003839451,0.7775,23.0165
1,6/20/2019,1.001408646,0.616,21.509
1,6/21/2019,1.004578102,1.3385,22.8245
1,6/22/2019,1.003968347,1.225,26.1955
1,6/23/2019,1.003612931,0.724,26.3165
1,6/24/2019,1.00293343,0.739,24.1825
1,6/25/2019,1.004175359,2.028,29.216
1,6/26/2019,1.004367287,2.181,30.142
1,6/27/2019,1.004104202,1.2245,30.129
1,6/28/2019,1.003684549,1.0305,28.941
