Date,Heat Ratio,VPD,Ambient Temp
5/6/2019,1.001523629,0.5045,14.4335
5/7/2019,1.001309746,0.3345,10.05
5/8/2019,1.002182873,0.7805,18.509
5/9/2019,1.001276864,0.3,13.7005
5/10/2019,1.002383082,0.712,14.049
5/11/2019,1.000935252,0.567,11.1875
5/12/2019,1.001631947,0.496,11.516
5/13/2019,1.002262803,0.943,16.224
5/14/2019,1.001945594,1.3165,19.639
5/15/2019,1.001990868,1.2955,22.071
5/16/2019,1.001131998,0.869,24.3515
5/17/2019,1.000542863,0.3395,10.8945
5/18/2019,1.001616861,1.362,26.977
5/19/2019,1.001215306,0.8065,21.581
5/20/2019,1.000561145,0.531,12.7025
5/21/2019,0.999973828,0.314,10.9195
5/22/2019,1.001181933,1.3225,25.539
5/23/2019,1.00133447,1.2135,22.477
5/24/2019,1.000259046,0.715,22.72
5/25/2019,1.000911032,1.2355,26.8665
5/26/2019,1.000737062,0.865,23.6655
5/27/2019,1.000122724,0.7445,22.944
5/28/2019,1.000239782,0.5875,21.1155
5/29/2019,1.001147077,0.861,24.0985
5/30/2019,1.002948784,0.5285,22.0595
5/31/2019,1.002488028,0.8955,24.75
6/1/2019,1.001122111,1.1135,25.128
6/2/2019,1.001061304,1.675,22.3335
6/3/2019,1.000902629,1.338,21.294
6/4/2019,1.000706669,1.718,26.769
6/5/2019,1.000808228,1.234,27.0995
6/6/2019,1.000859876,1.0995,25.6955
6/7/2019,1.000882364,1.226,25.598
6/8/2019,1.000939948,1.3485,24.9925
6/9/2019,1.0003613,0.847,24.4485
6/10/2019,1.000721248,1.675,22.681
6/11/2019,1.000585851,2.3145,26.502
6/12/2019,0.999676596,0.9145,20.7815
7/5/2019,1.002014124,1.7145,31.2805
7/6/2019,1.001659647,0.916,25.428
7/7/2019,1.001907743,1.426,25.307
7/8/2019,1.001866926,1.835,27.875
7/9/2019,1.001707135,1.816,29.439
7/10/2019,1.00166311,2.526,33.183
7/11/2019,1.001529811,1.482,28.221
7/12/2019,1.001460077,2.099,29.916
7/13/2019,1.001472194,2.23,33.339
7/14/2019,1.001362409,2.312,33.339
7/15/2019,1.001266728,1.972,30.874
7/16/2019,1.00015458,0.4525,25.8775
7/17/2019,1.001331503,2.078,32.6785
7/18/2019,1.000852709,0.749,28.543
7/19/2019,1.001295159,1.54,33.6
7/20/2019,1.001312218,2.162,33.626
7/21/2019,1.000820089,1.279,25.283
7/22/2019,1.001117908,1.409,23.28
7/23/2019,1.001123594,1.503,26.158
7/24/2019,1.001154246,1.988,26.304
7/25/2019,1.001211845,1.886,28.593
7/26/2019,1.000992344,1.562,27.801
7/27/2019,1.001045732,1.915,30.369
7/28/2019,1.001056854,2.148,31.153
7/29/2019,1.000253118,0.799,27.014
7/30/2019,1.000970594,1.472,27.038
7/31/2019,1.000867784,1.47,24.75
8/1/2019,1.000882859,1.42,25.695
8/2/2019,1.000960214,2.086,29.464
8/3/2019,1.000983693,2.687,31.357
8/4/2019,1.000854933,2.061,30.874
8/5/2019,1.000896698,1.915,30.243
8/6/2019,1.000815641,1.176,27.308
8/7/2019,1.000918693,1.913,29.09
8/8/2019,1.00101533,2.214,28.99
